"","feature","B cell progenitor","CD14+ Monocytes","CD16+ Monocytes","CD4 Memory","CD4 Naive","CD8 effector","CD8 Naive","Dendritic cell","Double negative T cell","NK bright","NK dim","pDC","Platelet","pre-B cell"
"1","FOXD1",1.01473598943273,1.00741678731733,1.01026468372261,1.13460154908559,1.10349810108261,1.14564889336016,1.10191055358658,0.95939353529636,1.14162576218217,1.11233721801653,1.11283697522527,0.887409011744742,0.502737680438029,0.978554902646044
"2","IRF2",1.79441412272162,1.50277289196968,1.67543496760116,1.53890225765909,1.5205643657945,1.66181819836601,1.51254350633922,1.63455658531026,1.51850781776992,1.69524552102949,1.69013853257087,1.8521197846568,1.28340392760878,1.81650525482797
"3","PPARG",1.07043700623993,1.10664151056849,1.08462078863603,1.05348369885788,1.00483145572974,1.06890940165526,0.995789831553728,1.08246269383858,1.12268759602442,1.09022428291531,1.08052842763237,0.997808144933428,0.883381924198251,1.03704312578871
"4","PAX6",1.22388003441272,1.05546765477486,1.0875472623212,0.952242051441295,0.949693911355731,0.980515559517219,0.950728066643954,1.05573131902612,0.913093187206191,0.965631269456935,0.991551418523751,1.0414699381649,1.28826530612245,1.2752386745012
"5","PBX1",0.88489516243973,0.890729459574154,0.903663974165996,1.01353533383183,1.01336380552081,1.01422507945574,1.01981803650422,0.932977710732518,0.983168641832773,0.871335807050093,0.956718637694635,0.819291532402435,0.749536178107607,0.888167554237106
"6","RORA",1.00487104102633,1.03991182460246,1.11507581494136,1.0281523844284,0.902028382579776,0.988855132918467,0.900442050759108,1.03189131687425,1.20691774419692,1.02135081207177,1.07334936990629,0.845107340956439,0.687074829931973,0.934569704269462
"7","RREB1",1.07057139253241,1.00933149989191,0.994775993657793,1.12657056915986,1.09675671608208,1.159722529128,1.10948309042923,1.01262391508327,1.15979263563258,1.16860038998754,1.15827379701079,1.1267456751182,1.07335090434278,1.07476814261373
"8","SOX9",0.902398756919491,0.942592252674029,0.93478620777484,0.904789705671242,0.894324150421595,0.94153583593325,0.906751940979005,0.903276125681094,0.889766604316145,0.906449118108782,0.932972673480896,0.869613307597215,0.887471655328798,0.897364406371135
"9","REL",1.52405897550372,1.55734523451354,1.56010482991523,1.45686498576455,1.30224647998734,1.41547699870132,1.29895614948485,1.42874222499515,1.49703749204348,1.44057087819904,1.35156687040298,1.36552030946636,1.12623606143488,1.56109546362878
"10","RELA",1.62503175544076,1.63394564073242,1.65315576444383,1.51665628705031,1.35964773339926,1.47665292223278,1.37021118885197,1.51982559377753,1.56193202651248,1.50625182152276,1.40729054086794,1.42452914983396,1.18726530612245,1.67207623559303
"11","ZNF354C",0.919247734240876,0.951902922529289,0.91399443851328,0.94475912340937,0.937351102266637,0.92422588654559,0.932300389470545,0.94995741244337,0.932034111968945,0.907752344426081,0.929091128018915,0.969417818118749,0.896868671132575,0.90954210015274
"12","CTCF",2.70234549191427,2.37351829414894,2.43722440908543,2.79869713289513,2.84382552234841,2.79750407758697,2.8002693703516,2.5540612388489,2.73640383824926,2.74010126777984,2.73516140806665,2.66183381266599,3.20986774598107,2.75123207206733
"13","REST",1.0988647114475,1.08258585281438,1.05145242332153,1.10441592178164,1.09138272515593,1.10798375681689,1.09670094024997,1.10125030190687,1.09948353251559,1.12129082342694,1.116490868814,1.15048675018436,1.22880690737834,1.08157401470432
"14","NFATC2",0.85469448397859,0.881549662828417,0.895244289936108,0.891266524875431,0.875207986260974,0.888416371347407,0.856982016851244,0.884157524434453,0.874013166199408,0.895083943641696,0.892833753842543,0.892656275108469,0.859825072886297,0.842396167206841
"15","NR4A2",1.10815727040226,1.15981396712075,1.25241612419105,1.02272212704916,0.981502858355457,1.05970494428975,0.994849734671363,1.15257230796491,1.08360992083666,1.13301406373615,1.10153438326527,0.952081696779261,1.04969765684051,1.0679431638781
"16","PLAG1",1.13403185776182,1.09175104446433,1.09562874934612,1.11787289093918,1.11465829277032,1.11818325678023,1.1212566689352,1.08656554752632,1.12186456938546,1.12098856846674,1.11764941327871,1.11118364472212,1.17069546265108,1.15496310865208
"17","FOS",1.79773560502608,2.89092605201469,2.40867048829435,1.99981857046427,1.60859991070756,2.17050020911183,1.65234061247233,2.54390117625118,2.30342698519242,1.98067563698826,2.1746233011621,1.59582884878089,1.51729024943311,1.68771280717094
"18","FOSL2",1.82497264363672,2.99717423224671,2.48516264211424,2.07719338130225,1.67340636491761,2.23432757603476,1.71608737298503,2.6717078449009,2.37005856616731,2.00110009778647,2.23990574236246,1.63954337099647,1.68881838449666,1.72477877954901
"19","FOXH1",0.935710656282008,0.96504570422241,0.941238866982243,0.95383793652829,0.948786504452014,0.948332913412275,0.954019692255468,0.95313785740326,0.951154218105053,0.943670661602802,0.931732403018591,0.955753585217871,0.858843537414966,0.919338531337548
"20","JUN",1.54293661866669,1.89423802768231,1.91198694872904,1.48997073246768,1.43872433554236,1.45273935412421,1.44214819230771,1.743723298414,1.56037229238172,1.52012562213384,1.51816191763159,1.40925524095559,0.984807256235828,1.52954691924617
"21","MEF2C",0.788984363043851,0.757617519936418,0.779953050780664,0.708820143707056,0.697892611669319,0.718445276184623,0.700689533581765,0.767651911133671,0.696396693743135,0.724158670090553,0.730797013907735,0.817338312570537,0.891964857691956,0.761487174067176
"22","NR2C2",1.0307313546762,1.06915613592743,1.09027193861848,1.005548823573,0.990586879698046,1.01108637747942,0.998913843999335,1.04427587060127,1.03764484172188,1.05465433702785,1.03150523549729,0.986295348113161,0.932704081632653,1.01022706780654
"23","NRF1",2.08048379549631,2.0194263526389,2.02528958474974,2.10535285933491,2.12875272312759,2.10896321429612,2.08257139870791,1.93502561532976,2.09651729483232,2.10221211062163,2.0954848787341,2.04470047945614,1.73486394557823,2.10312848822074
"24","POU2F2",1.42395468352054,0.964823543596779,1.08488682255945,0.968554805197175,0.931159232365138,0.943211748649816,0.92411836038836,0.951334379905809,0.935196421812765,0.950019891443022,0.952438388356791,0.966619066104703,0.946289424860853,1.38342350125338
"25","TCF7L2",1.08147646141908,1.06061866876163,1.06312790582741,1.41909342762018,1.51046289320228,1.22000849127175,1.52869215549775,1.04114873329786,1.2569968542369,1.24203646326787,1.07605595958418,1.05176171726929,1.1499462943072,1.07262332513231
"26","ZBTB33",1.53734371525449,1.54468384085591,1.5492467689862,1.52169792205527,1.55954272578339,1.51971946364799,1.53242665594374,1.58435679375508,1.55398706245088,1.49362162447397,1.49633502806301,1.50310671381014,1.47721088435374,1.56126141853352
"27","ELK4",2.08442271345614,2.23906301258317,2.32431795085546,2.11252712925656,2.11585477574949,2.19315555539121,2.10949921416282,2.24224925007838,2.18136585549558,2.19384479541991,2.20873355021675,2.04433305304822,1.86057431822286,2.10798537246634
"28","ESR2",1.07929407619525,1.17987235609112,1.14044535449564,1.05601074326755,1.02925873739038,1.07595504985649,1.02233585470945,1.15486859908255,1.1231531494334,1.1368851995032,1.1159576506659,1.01728336408787,1.06307247308372,1.0389532651974
"29","IRF1",1.52000264889949,1.30477179816015,1.39049334469586,1.29293822220555,1.27890154638263,1.31134607677976,1.27054652971858,1.38563642306989,1.26989519909283,1.28880084765283,1.29013992432268,1.4513719262534,1.15702629366353,1.53497360452932
"30","STAT1",1.02852217747777,1.11130562687788,1.12322586702246,1.12119818376063,1.15231565963143,1.07506056642798,1.13121571805117,1.11036808831752,1.10410871529562,1.05483563882975,1.0729676178778,1.01127878812143,1.0892649742824,1.01625717717735
"31","STAT3",0.99832093222916,1.09461589029431,1.08991460269183,1.0772425093217,1.09340242627911,1.03921708084889,1.07965254032752,1.09282284719203,1.05658879616412,1.00357699340954,1.0382501915856,1.00628652715004,1.00783628368474,0.994899287817067
"32","YY1",0.985697427055231,0.964645314505017,0.961290807446638,1.06573030890611,1.05356361043324,1.03376640223588,1.05159908426065,0.968883970884168,1.0236446955311,0.999618166825959,1.03038403138049,0.995617983437122,1.05024295432459,0.990858442805982
"33","FOXP2",1.05850432189114,1.00271459683148,1.02565524095929,1.08166445125486,1.07298642455109,1.07170341061211,1.0694869370439,0.976579015420762,1.08513649829358,1.075421472937,1.05725905725235,0.975703224633935,0.872056514913658,1.02165350502115
"34","SREBF1",1.16488384800242,1.12156829776682,1.04468878645261,1.16652162240944,1.14641700190919,1.23280125020009,1.16646266544943,1.10482640918651,1.21159880631307,1.22423447750602,1.23349602720677,1.04925573702708,1.12723214285714,1.16517717376603
"35","SREBF2",1.14348924381178,1.13309210471152,1.05845644199988,1.16003823527519,1.1230600687561,1.21868580522056,1.13279420143816,1.09196268476663,1.20240960437553,1.21071923915197,1.2359234123148,1.00629243727496,1.03061224489796,1.14388129426386
