"gene" "PcorAvg_m" "PcorAvg_m_pvalue"
"ACP2" "ACP2" -0.16216188707129 0.520302141978457
"ACP5" "ACP5" NA NA
"ACP6" "ACP6" 0.452992260466713 0.0590495080881433
"ACP7" "ACP7" -0.22640041940839 0.36632011341018
"ACRBP" "ACRBP" 0.584853047467242 0.0107909911465539
"ACSF2" "ACSF2" 0.385760318991407 0.11386419758147
"ACSF3" "ACSF3" 0.499971275024307 0.0346117261256784
"ACSL1" "ACSL1" 0.942992511302609 4.68655632936643e-09
"ACSL3" "ACSL3" NA NA
"ACSL4" "ACSL4" NA NA
"ACSL5" "ACSL5" NA NA
"ACSL6" "ACSL6" 0.616841585326744 0.00639584027472284
"ACSM3" "ACSM3" NA NA
"ACSS1" "ACSS1" 0.185941584359911 0.460072104184251
"ACSS2" "ACSS2" 0.82289323011258 2.74682942339092e-05
"ACTA2" "ACTA2" NA NA
"ACTB" "ACTB" 0.329057356487681 0.182420421432999
"ACTG1" "ACTG1" 0.469743507242363 0.0491905497042655
"ACTL10" "ACTL10" 0.121101216072099 0.632172204383326
"ACTL6A" "ACTL6A" 0.55877641968625 0.015930667391554
"ACTL6B" "ACTL6B" NA NA
"ACTN1" "ACTN1" 0.677024315958481 0.00202755224039833
"ACTN2" "ACTN2" NA NA
"ACTN4" "ACTN4" 0.355315473838036 0.147905345370119
"ACTR10" "ACTR10" 0.570682626725045 0.0133860357500432
"ACTR1A" "ACTR1A" 0.429208336247577 0.0754946002262781
"ACTR2" "ACTR2" NA NA
"ACTR3" "ACTR3" 0.177286316220932 0.481576355395217
"ACTR3B" "ACTR3B" NA NA
"ACTR3C" "ACTR3C" 0.320769393449491 0.194346658020356
"ACTR5" "ACTR5" 0.668010361345662 0.0024467135943036
"ACTR6" "ACTR6" 0.857129294459471 5.5204976939968e-06
"ACTR8" "ACTR8" NA NA
"ACTRT3" "ACTRT3" NA NA
"ACVR1" "ACVR1" 0.472976633271887 0.0474406949355379
"ACVR1B" "ACVR1B" 0.630886989558186 0.00499445858706832
"ACVR1C" "ACVR1C" 0.709643348998509 0.000971301388342081
"ACVR2A" "ACVR2A" 0.505849463121892 0.0322124929751149
"ACVR2B" "ACVR2B" 0.3725550078446 0.127866075131266
"ACVRL1" "ACVRL1" 0.703886792570168 0.00111362979447847
"ACY1" "ACY1" NA NA
"ACY3" "ACY3" 0.387354484571118 0.112250822463166
"ACYP1" "ACYP1" 0.707901476850559 0.00101266983286039
"ACYP2" "ACYP2" 0.331565966686224 0.178909383149509
"ADA" "ADA" 0.274916440264239 0.269557188159422
"ADA2" "ADA2" NA NA
"ADAD1" "ADAD1" NA NA
"ADAL" "ADAL" 0.504310176113828 0.0328279582791567
"ADAM10" "ADAM10" NA NA
"ADAM11" "ADAM11" NA NA
"ADAM12" "ADAM12" 0.979024251186111 1.76447057066643e-12
"ADAM15" "ADAM15" 0.0926616928672752 0.714592455657467
"ADAM17" "ADAM17" 0.940636275772356 6.43141166729115e-09
"ADAM19" "ADAM19" 0.885896122802546 1.00428043045709e-06
"ADAM22" "ADAM22" NA NA
"ADAM23" "ADAM23" 0.853553299586428 6.64867346870414e-06
"ADAM28" "ADAM28" 0.829488971276389 2.07281300610466e-05
"ADAM32" "ADAM32" NA NA
"ADAM8" "ADAM8" 0.363112585665059 0.13859057791037
"ADAM9" "ADAM9" -0.0806485616866772 0.750396082886616
"ADAMDEC1" "ADAMDEC1" 0.302648688976391 0.222187832537176
"ADAMTS1" "ADAMTS1" 0.918305988645459 7.70176299597986e-08
"ADAMTS10" "ADAMTS10" 0.2931051942308 0.237835786884459
"ADAMTS13" "ADAMTS13" NA NA
"ADAMTS14" "ADAMTS14" 0.726149469100701 0.000644431469848277
"ADAMTS17" "ADAMTS17" 0.944421717025128 3.84252079180302e-09
"ADAMTS2" "ADAMTS2" NA NA
"ADAMTS4" "ADAMTS4" 0.741580143469665 0.000427599404289837
"ADAMTS5" "ADAMTS5" 0.514705742146722 0.028842695891015
"ADAMTS6" "ADAMTS6" 0.603570050197641 0.00799757929271368
"ADAMTS7" "ADAMTS7" -0.0471985548492053 0.852465687874193
"ADAMTS8" "ADAMTS8" NA NA
"ADAMTSL2" "ADAMTSL2" 0.496799528494612 0.0359621901837126
"ADAMTSL4" "ADAMTSL4" 0.89452906907222 5.50460400171644e-07
"ADAMTSL5" "ADAMTSL5" 0.300878353850697 0.225038960331051
"ADAP1" "ADAP1" 0.891003452513296 7.07919533513528e-07
"ADAP2" "ADAP2" 0.94259055008459 4.95118898306685e-09
"ADAR" "ADAR" 0.337091224755665 0.171336967069128
"ADARB1" "ADARB1" 0.727108632448126 0.000628699716116313
"ADARB2" "ADARB2" NA NA
"ADAT1" "ADAT1" 0.542087205197848 0.020126505673744
"ADAT2" "ADAT2" NA NA
"ADCK1" "ADCK1" NA NA
"ADCK2" "ADCK2" 0.233975704578917 0.350060673149746
"ADCK5" "ADCK5" 0.403405349529771 0.0969033480598324
"ADCY10" "ADCY10" 0.215781808694988 0.389811999810856
"ADCY2" "ADCY2" NA NA
"ADCY3" "ADCY3" 0.243591257901889 0.330029271893759
"ADCY4" "ADCY4" 0.140764250114468 0.577442701383714
"ADCY5" "ADCY5" NA NA
"ADCY6" "ADCY6" NA NA
"ADCY7" "ADCY7" -0.0493655530326286 0.845767137086232
"ADCY9" "ADCY9" 0.290558211748856 0.242127608867195
"ADD1" "ADD1" 0.691535731328204 0.00147813579695908
"ADD2" "ADD2" 0.346779506296185 0.15858778702876
"ADD3" "ADD3" 0.819048479194421 3.21992334596498e-05
"ADGB" "ADGB" 0.51581725131866 0.0284398872213132
"ADGRA2" "ADGRA2" NA NA
"ADGRA3" "ADGRA3" NA NA
"ADGRB1" "ADGRB1" 0.317072453130386 0.19982913096487
"ADGRB2" "ADGRB2" 0.138010412498403 0.584985096529298
"ADGRB3" "ADGRB3" NA NA
"ADGRD1" "ADGRD1" 0.830890349693751 1.94949212540826e-05
"ADGRE1" "ADGRE1" 0.729366340404159 0.000592933609383346
"ADGRE2" "ADGRE2" 0.893826600671488 5.79158713553132e-07
"ADGRE3" "ADGRE3" 0.663327703220458 0.00269114304577627
"ADGRE5" "ADGRE5" 0.282837067908146 0.255436829611341
"ADGRG1" "ADGRG1" NA NA
"ADGRG3" "ADGRG3" 0.41625937064824 0.0857519524269672
"ADGRG5" "ADGRG5" 0.301253272863922 0.224433194301861
"ADGRG6" "ADGRG6" NA NA
"ADGRG7" "ADGRG7" NA NA
"ADGRV1" "ADGRV1" NA NA
"ADH5" "ADH5" 0.210208257234786 0.402465263028751
"ADHFE1" "ADHFE1" 0.244925504505558 0.327303798224066
"ADI1" "ADI1" 0.400256834877064 0.0997871465288847
"ADIPOR1" "ADIPOR1" NA NA
"ADIPOR2" "ADIPOR2" 0.505016255676229 0.0325445242731407
"ADIRF" "ADIRF" 0.52756866623073 0.0244430821015737
"ADK" "ADK" 0.781803101852255 0.000126874011281509
"ADM" "ADM" 0.931526087632524 1.95748399958839e-08
"ADM2" "ADM2" 0.238814951125418 0.339894065750261
"ADNP" "ADNP" 0.705695013803445 0.0010671682118553
"ADNP2" "ADNP2" -0.0381066137708248 0.880670229336261
"ADO" "ADO" -0.0756181729794829 0.76553860620386
"ADORA1" "ADORA1" 0.552506578065327 0.0174167366967733
"ADORA2A" "ADORA2A" 0.589471968063099 0.0100383176638693
"ADORA2B" "ADORA2B" 0.582661811589678 0.0111635230317013
"ADORA3" "ADORA3" 0.458316558861571 0.0557683183409189
"ADPGK" "ADPGK" NA NA
"ADPRH" "ADPRH" 0.873406989584862 2.21300829628516e-06
"ADPRHL1" "ADPRHL1" NA NA
"ADRA1B" "ADRA1B" NA NA
"ADRA2B" "ADRA2B" 0.469595773015344 0.0492716576177159
"ADRB1" "ADRB1" 0.490903133969708 0.0385799928975663
"ADRB2" "ADRB2" 0.65745509597669 0.00302572455213008
"ADRM1" "ADRM1" 0.173354988462939 0.491503989284559
"ADSL" "ADSL" 0.410621974057402 0.0905210719795227
"ADTRP" "ADTRP" -0.0288437242134642 0.909546097730036
"AEBP1" "AEBP1" 0.34384603696207 0.162377459135171
"AEBP2" "AEBP2" 0.189624414046037 0.45107168993923
"AEN" "AEN" 0.414175690001043 0.0874928553833917
"AFAP1" "AFAP1" 0.853682584127761 6.60468668575011e-06
"AFAP1L1" "AFAP1L1" NA NA
"AFDN" "AFDN" NA NA
"AFF1" "AFF1" 0.182353813217 0.468926589152312
"AFF2" "AFF2" NA NA
"AFF3" "AFF3" 0.843404691908924 1.09878761220441e-05
"AFF4" "AFF4" NA NA
"AFG1L" "AFG1L" NA NA
"AFG3L2" "AFG3L2" NA NA
"AFTPH" "AFTPH" 0.586251755862061 0.0105584491813556
"AGA" "AGA" NA NA
"AGAP1" "AGAP1" 0.928219860530502 2.82443906962796e-08
"AGAP2" "AGAP2" 0.631632276381103 0.00492773950263082
"AGAP3" "AGAP3" NA NA
"AGBL2" "AGBL2" 0.413162951012011 0.0883482169975267
"AGBL3" "AGBL3" 0.407575052881718 0.093177382739162
"AGBL4" "AGBL4" NA NA
"AGBL5" "AGBL5" 0.33216245571273 0.178081261958702
"AGFG1" "AGFG1" NA NA
"AGFG2" "AGFG2" 0.706092333202669 0.00105717848724382
"AGGF1" "AGGF1" 0.190992198853278 0.447752056411815
"AGK" "AGK" 0.413211083278817 0.0883074273094405
"AGL" "AGL" NA NA
"AGMAT" "AGMAT" 0.628668979257548 0.00519738155219893
"AGO1" "AGO1" 0.0937568077530432 0.711355396320795
"AGO2" "AGO2" 0.638181215520085 0.00437209578249278
"AGO3" "AGO3" 0.555955859636743 0.0165862302878142
"AGO4" "AGO4" NA NA
"AGPAT1" "AGPAT1" 0.0758402134486615 0.764868465405804
"AGPAT2" "AGPAT2" 0.687998844098687 0.00159905659957439
"AGPAT3" "AGPAT3" -0.00377084561037314 0.988152057403016
"AGPAT4" "AGPAT4" 0.45591578368973 0.057230433830966
"AGPAT5" "AGPAT5" 0.60815831083788 0.00741090114580653
"AGPS" "AGPS" NA NA
"AGTPBP1" "AGTPBP1" 0.095400752533104 0.70650486782562
"AGTRAP" "AGTRAP" 0.85856926691436 5.11503202900226e-06
"AHCTF1" "AHCTF1" NA NA
"AHCY" "AHCY" -0.295816282715536 0.233321043638206
"AHCYL1" "AHCYL1" 0.753721331384098 0.000303468938431204
"AHCYL2" "AHCYL2" 0.829994735088308 2.02755913575752e-05
"AHDC1" "AHDC1" 0.695636936787917 0.00134751222669459
"AHI1" "AHI1" 0.204341717190262 0.4160202088914
"AHNAK" "AHNAK" 0.774200344280685 0.000162585454313063
"AHNAK2" "AHNAK2" -0.200122382663204 0.42591745719642
"AHR" "AHR" NA NA
"AHRR" "AHRR" NA NA
"AIF1" "AIF1" 0.570862013766452 0.0133503400053709
"AIF1L" "AIF1L" NA NA
"AIFM1" "AIFM1" NA NA
"AIFM2" "AIFM2" NA NA
"AIFM3" "AIFM3" -0.294056752876379 0.236244874579613
"AIG1" "AIG1" NA NA
"AIM2" "AIM2" 0.446183118275847 0.0634537325968468
"AIP" "AIP" 0.602169450235419 0.00818394057515162
"AJM1" "AJM1" 0.281610406890564 0.257592654638546
"AJUBA" "AJUBA" 0.139038286603327 0.582165054216057
"AK1" "AK1" NA NA
"AK2" "AK2" 0.236040652647526 0.345701403119296
"AK3" "AK3" 0.29555483805398 0.233754017678052
"AK4" "AK4" 0.814391662193745 3.88444362992359e-05
"AK5" "AK5" 0.734935016706179 0.000511926732380913
"AK7" "AK7" 0.440209986849125 0.0675147439332748
