"gene" "PcorAgg" "PcorAgg_pvalue" "PcorAvg" "PcorAvg_pvalue" "PcorAvg_m" "PcorAvg_m_pvalue" "PcorAvg_m_log" "PcorAvg_m_log_pvalue" "PcorMed_m" "PcorMed_m_pvalue" "PcorMed_m_log" "PcorMed_m_log_pvalue"
"311" "AJM1" 0.680223855268966 0.00135168262018474 0.013098772992478 0.9575550666004 0.0226775280897358 0.928830593437887 0.0093543268105442 0.96968210492701 NA NA NA NA
"312" "AJUBA" 0.541303456554022 0.0166889957516981 0.00802704470487242 0.973982399919721 -0.170755027172883 0.498123573496907 0.00756386593563665 0.975483232155435 NA NA NA NA
"314" "AK2" 0.934055885625193 5.06589941756005e-09 0.26544119242925 0.272058812906809 0.582029483929184 0.0112729161865405 0.541750494714099 0.016581692392933 NA NA NA NA
"316" "AK4" 0.611429603043417 0.00540930502225864 0.173127786835875 0.478451783206162 0.465513578177517 0.0515531037550236 0.532918200625337 0.0188062786873133 NA NA NA NA
"317" "AK5" 0.849114766656651 4.27150334173056e-06 0.588970765089432 0.0079716991931998 0.343401966011796 0.162956466533529 0.753106235723918 0.000197735344789066 NA NA NA NA
"320" "AK9" 0.92786957556886 1.06264482793333e-08 0.0803776750108912 0.743590411470156 0.113773781952634 0.653062280819807 0.451595915318294 0.0522672398339171 NA NA NA NA
"324" "AKAP12" 0.378985545542675 0.109560954281171 -0.0599598550315147 0.807359101782974 -0.201646597637902 0.422327906521387 0.00296065721575477 0.990402455874113 NA NA NA NA
"325" "AKAP13" 0.970876565968214 5.5265423434098e-12 0.349952983544171 0.141896525435941 0.751544652926537 0.000323160620999177 0.684371674922876 0.0012291885416632 0.540503821981247 0.016882312341659 0.867050328966411 1.55303428630945e-06
"332" "AKAP8L" 0.965625631878636 2.22143315872482e-11 0.237339933293294 0.327885313621918 0.543522589088401 0.0197346937158338 0.521321094640122 0.0220798054060443 0.0555555555555555 0.821283269241721 0.018891666325189 0.938812265178506
"333" "AKAP9" 0.906868079974974 8.67031294212254e-08 0.0671428537683745 0.784770351311447 0.764552870522945 0.000219818240041614 0.662433222150686 0.00199906498868397 0.622829564701826 0.00439408990971608 0.39083001358389 0.0980247856986407
"343" "AKT1S1" 0.814873273257582 2.1477142620728e-05 0.0980658434336327 0.689595247672445 0.804795608040529 5.62875791874521e-05 0.221229689716073 0.362715928638589 NA NA NA NA
"345" "AKT3" 0.671550683727575 0.00164100989888782 -0.0136278609806298 0.95584218393517 0.934345128499971 1.41107214825817e-08 0.106886048400118 0.663179924172308 NA NA NA NA
"356" "ALDH1L2" 0.508377176698807 0.0262477495089311 0.191293381948129 0.432742720419785 -0.381414869087793 0.118345513484999 0.524939534394411 0.0210135831240601 NA NA NA NA
"361" "ALDH4A1" 0.422823252678172 0.0712928037867425 -0.304546695410271 0.204890018946696 0.370577662817758 0.130062093283732 0.0258047659714243 0.916486094845643 NA NA NA NA
"364" "ALDH7A1" 0.750088174061361 0.000216791279082424 -0.20652149539178 0.396274898657909 0.488484380400855 0.0396950851695092 0.14935191232374 0.54169486743188 NA NA NA NA
"369" "ALG10" 0.781547474572351 7.76398439760435e-05 -0.529469901955045 0.0197364864587706 0.451757774306545 0.0598304882349196 -0.105413962151501 0.667563255134404 NA NA NA NA
"370" "ALG10B" 0.829319039195712 1.13441044309001e-05 -0.176746837436133 0.469159202904079 0.640745866412528 0.00416894237866242 0.268138568827236 0.267032832171779 NA NA NA NA
"374" "ALG1L2" 0.324896290086927 0.174715014739556 0.128251506427806 0.600798624456365 0.513938772020404 0.0291232155285293 0.678471262278648 0.00140642098426205 NA NA NA NA
"381" "ALK" 0.531904629473084 0.01907601036346 -0.364802993544833 0.124618535034063 -0.0400897067111035 0.874505558484772 -0.386428349490426 0.102203945544774 NA NA NA NA
"388" "ALKBH6" 0.92170287281851 2.08903847574497e-08 0.0280381431983859 0.909285295947027 0.669215673663518 0.00238685017924521 0.164526043909471 0.500899270849704 NA NA NA NA
"390" "ALKBH8" 0.821589421452069 1.60745714681559e-05 0.0150790685676058 0.951144980702618 0.669851824249089 0.00235574473776741 0.333623449685934 0.16275038475136 NA NA NA NA
"392" "ALOX12" 0.560414530909594 0.0125690416909322 0.00933176429956232 0.969755199409374 0.477529965589805 0.0450568440016723 0.237596304229626 0.327347551164535 NA NA NA NA
"393" "ALOX12B" 0.462786590272716 0.0460159753161974 0.104205247561147 0.671170090678337 0.0347903938502309 0.890993511331532 -0.102944223212089 0.674940368779792 NA NA NA NA
"396" "ALOX5" 0.869370340861536 1.34824589114575e-06 0.772192620969156 0.000107121005762764 0.460355356593395 0.0545488372149032 0.742115641051306 0.000274793083400939 NA NA NA NA
"398" "ALOXE3" 0.545466306633805 0.0157108897592433 -0.125593603533711 0.608426794811349 -0.214187573675016 0.393408774101007 -0.303442260499067 0.206620174028674 NA NA NA NA
"400" "ALPK2" 0.630512524563123 0.00380260859666734 0.444820030455986 0.0563535427431818 0.585111577513436 0.0107477032043029 0.669111304963837 0.00173110348266794 NA NA NA NA
"405" "ALX3" 0.546847518308295 0.0153966654548468 -0.109129798190432 0.656519011623803 0.136282008092734 0.589739959486198 -0.154779396404291 0.526932013564901 NA NA NA NA
"410" "AMDHD2" 0.967621162610786 1.34526334932279e-11 -0.231722973808171 0.339797786190286 0.466007961422947 0.0512726413747589 0.0575233888345775 0.815055396048252 NA NA NA NA
"413" "AMFR" 0.749941833327193 0.000217753588673615 0.058297220044416 0.812609230478499 0.870827976498827 2.57855534801651e-06 0.280365507130322 0.244982737739349 NA NA NA NA
"418" "AMN" 0.627273211917853 0.00404343738648604 -0.0336582565752584 0.891196192784672 0.905620927383975 2.34581846095414e-07 0.34225525914521 0.151480867909546 NA NA NA NA
"434" "ANAPC5" 0.951489766248142 3.95606868165836e-10 -0.152412875611877 0.533345977131015 0.512599477114716 0.0296181324686927 0.34581907327935 0.146989503386698 0.0122096572626376 0.960433909530211 -0.0974003611052 0.691602751189821
"441" "ANGPTL6" 0.473495000476273 0.040585410997825 0.507093568979245 0.0266925283272447 0.226504325345907 0.366094261802514 0.348322459731084 0.143890408658958 NA NA NA NA
"442" "ANK1" 0.557305950077627 0.0131768095716818 0.132806929734809 0.587816921061828 0.309262058204324 0.211744131671675 0.231023358783722 0.341298955936344 NA NA NA NA
"446" "ANKDD1A" 0.845787943950518 5.08062489876155e-06 0.194857600835245 0.42405310960221 0.833502434853681 1.7363027866167e-05 0.387705642498921 0.100978197940067 NA NA NA NA
"448" "ANKEF1" 0.558031788343357 0.013032832869295 0.113125584116239 0.644718382707805 0.116213704963938 0.646077949404455 0.150981298583537 0.537243287857282 NA NA NA NA
"449" "ANKFY1" 0.949255042956045 5.75698541035652e-10 -0.334913342208896 0.161030880877273 0.454831014583559 0.0579004259396587 0.410416641887836 0.0809213137775665 NA NA NA NA
"452" "ANKLE1" 0.890111831066211 3.33653967471564e-07 0.700157372727068 0.000844321490553838 0.638158873261578 0.00437390042077646 0.684459650630412 0.00122669463810946 NA NA NA NA
"454" "ANKMY1" 0.962902277114521 4.2078646240286e-11 0.405982057613053 0.0845851959060723 0.727727761547676 0.000618716675427094 0.561040961759317 0.0124493366772054 NA NA NA NA
"455" "ANKMY2" 0.836414461880619 8.11203959866173e-06 -0.468043223754389 0.0432848293402779 0.738428400525491 0.000466010819468521 0.247073232898049 0.307834992996216 NA NA NA NA
