"gene" "num_prom" "active_prom_num" "active_prom_perc" "num_ex" "active_ex_num" "active_ex_perc" "num_enh" "active_enh_num" "active_enh_perc" "expr_num" "expr_perc"
"ABHD17A" "ABHD17A" 2 7048 0.659246094846132 1 2537 0.237302403891123 8 8768 0.820129080535029 2178 0.203722757459545
"ABHD17B" "ABHD17B" 3 6538 0.611542418856982 0 0 0 4 3996 0.373772331867926 958 0.0896080815639323
"ABHD17C" "ABHD17C" 1 1962 0.183518847628847 0 0 0 0 0 0 95 0.00888597886072397
"ABHD18" "ABHD18" 1 6653 0.622299130109438 0 0 0 0 0 0 1557 0.145636516696287
"ABHD2" "ABHD2" 1 6603 0.617622299130109 0 0 0 3 3865 0.361519034702086 1795 0.16789823215789
"ABHD3" "ABHD3" 1 5131 0.479936395098681 0 0 0 1 455 0.0425591619118885 2539 0.237489477130297
"ABHD4" "ABHD4" 1 1978 0.185015433542232 0 0 0 6 6585 0.615938639977551 167 0.0156206154709569
"ABHD5" "ABHD5" 1 6351 0.594051070994294 0 0 0 2 2784 0.260405948929006 1713 0.160228229351791
"ABHD6" "ABHD6" 1 4781 0.447198578243382 1 151 0.0141240295575718 2 1788 0.167243475820784 381 0.0356374520624825
"ABHD8" "ABHD8" 2 5608 0.524553362641474 1 400 0.0374146478346273 11 8529 0.79777382845384 361 0.0337667196707511
"ABI1" "ABI1" 1 7011 0.655785239921429 0 0 0 1 492 0.0460200168365915 3476 0.325133289682911
"ABI2" "ABI2" 1 1440 0.134692732204658 0 0 0 3 2328 0.217753250397531 724 0.0677205125806753
"ABL1" "ABL1" 2 6629 0.62005425123936 0 0 0 1 546 0.0510709942942662 1386 0.129641754746983
"ABL2" "ABL2" 3 2167 0.202693854644093 0 0 0 11 4258 0.398278926199607 1080 0.101019549153494
"ABLIM1" "ABLIM1" 2 5464 0.511084089421008 0 0 0 24 5311 0.496772986624263 3263 0.305209989710972
"ABLIM2" "ABLIM2" 1 6639 0.620989617435226 0 0 0 18 6485 0.606584978018894 180 0.0168365915255823
"ABLIM3" "ABLIM3" 1 712 0.0665980731456365 0 0 0 0 0 0 12 0.00112243943503882
"ABO" "ABO" 1 244 0.0228229351791226 1 65 0.00607988027312693 1 2407 0.22514264334487 27 0.00252548872883734
"ABR" "ABR" 5 6353 0.594238144233467 0 0 0 39 8775 0.820783836872135 2039 0.190721167337012
"ABRACL" "ABRACL" 1 2962 0.277055467215415 0 0 0 5 4011 0.375175381161725 2114 0.197736413806005
"ABRAXAS1" "ABRAXAS1" 1 5929 0.554578617528762 0 0 0 4 4341 0.406042465625292 366 0.0342344027686839
"ABRAXAS2" "ABRAXAS2" 1 2887 0.270040220746422 0 0 0 9 6115 0.571976428771864 486 0.0454587971190721
"ABT1" "ABT1" 1 4175 0.390515386773922 0 0 0 8 8052 0.753156860911047 622 0.0581797773828454
"ABTB1" "ABTB1" 1 5092 0.476288466934805 0 0 0 1 1252 0.117107847722383 1192 0.111495650547189
"ABTB2" "ABTB2" 1 4828 0.451594799363951 1 1152 0.107754185763727 2 2122 0.198484706762698 370 0.0346085492470302
"ACAA1" "ACAA1" 1 5094 0.476475540173978 0 0 0 0 0 0 1944 0.181835188476288
"ACAA2" "ACAA2" 1 4362 0.40800673463661 0 0 0 0 0 0 766 0.0716490506033112
"ACACA" "ACACA" 2 7441 0.696005986343654 0 0 0 4 1867 0.174632868768123 1000 0.0935366195865681
"ACAD9" "ACAD9" 1 5803 0.542793003460855 0 0 0 11 8961 0.838181648115237 468 0.0437751379665139
"ACADS" "ACADS" 1 3888 0.363670376952577 0 0 0 3 2727 0.255074361612571 375 0.0350762323449631
"ACAP1" "ACAP1" 2 2947 0.275652417921616 0 0 0 14 9233 0.863623608642784 3695 0.345617809372369
"ACAP2" "ACAP2" 1 6874 0.642970723038069 0 0 0 3 7365 0.688897203255074 4911 0.459358338789636
"ACAP3" "ACAP3" 1 7799 0.729492096155645 0 0 0 12 9010 0.842764942474979 597 0.0558413618931812
"ACAT1" "ACAT1" 1 4108 0.384248433261622 0 0 0 2 3056 0.285847909456552 869 0.0812833224207277
"ACAT2" "ACAT2" 1 6921 0.647366944158638 0 0 0 1 711 0.0665045365260499 513 0.0479842858479095
"ACBD3" "ACBD3" 1 4048 0.378636236086428 0 0 0 10 7852 0.734449536993733 1521 0.14226919839117
"ACBD4" "ACBD4" 1 5482 0.512767748573567 0 0 0 6 6809 0.636890842764942 280 0.0261902534842391
"ACBD5" "ACBD5" 3 6794 0.635487793471144 0 0 0 0 0 0 777 0.0726779534187634
"ACBD6" "ACBD6" 1 4141 0.387335141707979 0 0 0 0 0 0 2552 0.238705453184922
"ACBD7" "ACBD7" 1 2887 0.270040220746422 0 0 0 2 1567 0.146571882892152 17 0.00159012253297166
"ACCS" "ACCS" 1 3594 0.336170610794126 0 0 0 0 0 0 279 0.0260967168646525
"ACD" "ACD" 1 6251 0.584697409035637 0 0 0 4 5954 0.556917033018427 456 0.0426526985314751
"ACE" "ACE" 1 1190 0.111308577308016 1 558 0.052193433729305 0 0 0 89 0.00832475914320456
"ACER2" "ACER2" 1 3426 0.320456458703582 1 76 0.00710878308857918 0 0 0 178 0.0166495182864091
"ACER3" "ACER3" 1 3483 0.325788046020017 0 0 0 2 1360 0.127209802637733 1704 0.159386399775512
"ACHE" "ACHE" 3 2847 0.266298755962959 0 0 0 4 4478 0.418856982508652 10 0.000935366195865681
"ACIN1" "ACIN1" 1 1386 0.129641754746983 0 0 0 2 4020 0.376017210738004 2307 0.215788981386213
"ACKR3" "ACKR3" 2 2119 0.198204096903938 0 0 0 1 1119 0.10466747731737 70 0.00654756337105977
"ACLY" "ACLY" 2 7572 0.708259283509494 0 0 0 15 7867 0.735852586287532 957 0.0895145449443457
"ACO1" "ACO1" 1 3694 0.345524272752783 0 0 0 0 0 0 444 0.0415302590964363
"ACOD1" "ACOD1" 1 265 0.0247872041904406 0 0 0 23 3284 0.30717425872229 1 9.35366195865681e-05
"ACOT11" "ACOT11" 1 185 0.0173042746235151 0 0 0 0 0 0 97 0.00907305209989711
"ACOT12" "ACOT12" 1 156 0.0145917126555046 0 0 0 0 0 0 19 0.00177719577214479
"ACOT2" "ACOT2" 1 1688 0.157889813862127 0 0 0 3 4000 0.374146478346273 187 0.0174913478626882
"ACOT4" "ACOT4" 1 2013 0.188289215227762 0 0 0 4 4460 0.417173323356094 38 0.00355439154428959
"ACOT7" "ACOT7" 2 6816 0.637545599102048 0 0 0 28 6230 0.58273314002432 327 0.0305864746048078
"ACOT8" "ACOT8" 1 5123 0.479188102141989 0 0 0 1 1685 0.157609204003367 495 0.0463006266953512
"ACOT9" "ACOT9" 1 2653 0.248152651763165 0 0 0 12 2771 0.25918997287438 1046 0.0978393040875503
"ACOX1" "ACOX1" 1 5899 0.551772518941165 1 108 0.0101019549153494 15 7999 0.748199420072959 556 0.0520063604901319
"ACOX3" "ACOX3" 2 6695 0.626227668132074 1 171 0.0159947619493032 2 2114 0.197736413806005 509 0.0476101393695632
"ACOXL" "ACOXL" 1 221 0.0206715929286316 2 301 0.028154522495557 0 0 0 72 0.00673463661023291
"ACP2" "ACP2" 1 3453 0.32298194743242 0 0 0 2 1839 0.172013843419699 257 0.024038911233748
"ACP3" "ACP3" 1 665 0.0622018520250678 1 185 0.0173042746235151 4 921 0.0861472266392293 0 0
"ACP5" "ACP5" 1 1170 0.109437844916285 0 0 0 0 0 0 443 0.0414367224768497
"ACP6" "ACP6" 1 2331 0.21803386025629 1 724 0.0677205125806753 5 6917 0.646992797680292 211 0.0197362267327659
"ACP7" "ACP7" 1 604 0.0564961182302872 0 0 0 5 5750 0.537835562622767 8 0.000748292956692545
"ACRBP" "ACRBP" 1 1247 0.11664016462445 0 0 0 20 5797 0.542231783743335 114 0.0106631746328688
"ACSF2" "ACSF2" 1 2576 0.240950332055 0 0 0 7 6455 0.603778879431297 275 0.0257225703863062
"ACSF3" "ACSF3" 2 5873 0.549340566831915 0 0 0 32 9296 0.869516415676737 1137 0.106351136469928
"ACSL1" "ACSL1" 4 6504 0.608362173791039 0 0 0 53 4158 0.38892526424095 2560 0.239453746141614
"ACSL3" "ACSL3" 1 5035 0.470956879618371 1 130 0.0121597605462539 0 0 0 1813 0.169581891310448
"ACSL4" "ACSL4" 1 3348 0.31316060237583 0 0 0 0 0 0 1558 0.145730053315873
"ACSL5" "ACSL5" 2 2767 0.258815826396034 0 0 0 0 0 0 1117 0.104480404078197
"ACSL6" "ACSL6" 1 1091 0.102048451968946 0 0 0 8 4821 0.450940043026845 216 0.0202039098306987
"ACSM3" "ACSM3" 1 2437 0.227948741932467 0 0 0 0 0 0 498 0.0465812365541109
"ACSS1" "ACSS1" 1 3280 0.306800112243943 0 0 0 2 2376 0.222243008137686 1056 0.098774670283416
"ACSS2" "ACSS2" 1 5851 0.54728276120101 0 0 0 2 1319 0.123374801234683 653 0.061079412590029
"ACTA2" "ACTA2" 1 1602 0.149845664577682 0 0 0 0 0 0 256 0.0239453746141614
