"H_H" "H_L" "L_H" "L_L"
"CL_0" 91.5771578703346 8.13692913994282 0.177729696314041 0.108183293408546
"CL_1" 91.569430492234 8.02874584653427 0.208639208716483 0.193184452515262
"CL_2" 91.1676068310022 8.81693841279654 0.0154547562012209 0
"CL_3" 89.784406150993 9.35012750173866 0.425005795533575 0.440460551734796
"CL_4" 88.5634804110965 10.5324163511321 0.455915307936017 0.448187929835407
"CL_5" 91.3144270149138 8.60057182597945 0.0540916467042732 0.0309095124024419
"CL_6" 79.3138088246658 19.797542693764 0.177729696314041 0.710918785256163
"CL_7" 85.2947994745383 12.9974499652268 0.726373541457384 0.981377018777529
"CL_8" 87.6825593076269 11.8074337377328 0.247276099219535 0.262730855420756
"CL_9" 80.2642763310409 17.6184220693919 0.687736650954331 1.42956494861294
"CL_10" 84.189784406151 14.342013754733 0.587280735646395 0.880921103469593
"CL_11" 91.0748782937949 8.90193957190325 0.00772737810061046 0.0154547562012209
"CL_12" 83.5484120238003 14.6974731473611 0.595008113747006 1.15910671509157
"CL_13" 78.8192566262267 20.4311876980141 0.185457074414651 0.564098601344564
"CL_14" 84.0429642222394 15.3002086392087 0.262730855420756 0.394096283131134
"CL_15" 71.2309713314273 20.7943744687428 1.80820647554285 6.16644772428715
"CL_16" 70.3345954717564 25.8171702341396 0.865466347268372 2.98276794683564
"CL_17" 78.7033459547176 20.2225484892976 0.347732014527471 0.726373541457384
"CL_18" 62.9163124951704 24.7894289467584 1.61502202302759 10.6792365350437
"Average" 83.2311828175647 14.7885748681262 0.497399127212979 1.48284318709609
